il,x,y
Adana,15.0,-136.0
Adıyaman,202.0,-87.0
Afyonkarahisar,-317.0,-7.0
Ağrı,531.0,61.0
Aksaray,-90.0,-26.0
Amasya,31.0,168.0
Ankara,-182.0,100.0
Antalya,-318.0,-152.0
Ardahan,501.0,196.0
Artvin,441.0,205.0
Aydın,-494.0,-92.0
Balıkesir,-506.0,84.0
Bartın,-189.0,251.0
Batman,404.0,-82.0
Bayburt,335.0,131.0
Bilecik,-356.0,120.0
Bingöl,365.0,23.0
Bitlis,478.0,-24.0
Bolu,-248.0,158.0
Burdur,-368.0,-113.0
Bursa,-410.0,119.0
Çanakkale,-575.0,107.0
Çankırı,-131.0,165.0
Çorum,-45.0,155.0
Denizli,-416.0,-83.0
Diyarbakır,347.0,-60.0
Düzce,-323.0,172.0
Edirne,-582.0,224.0
Elazığ,275.0,-18.0
Erzincan,259.0,84.0
Erzurum,416.0,115.0
Eskişehir,-296.0 71.0
Gaziantep,141.0,-142.0
Giresun,216.0,166.0
Gümüşhane,269.0,134.0
Hakkari,600.0,-106.0
Hatay,57.0,-215.0
Iğdır,597.0,97.0
Isparta,-290.0,-83.0
İstanbul,-436.0,205.0
İzmir,-540.0,-38.0
Kahramanmaraş,105.0,-82.0
Karabük,-185.0,210.0
Karaman,-143.0,-140.0
Kars,528.0,136.0
Kastamonu,-108.0,248.0
Kayseri,32.0,-12.0
Kırıkkale,-113.0,97.0
Kırklareli,-524.0,247.0
Kırşehir,77.0,49.0
Kilis,120.0,-167.0
Kocaeli,-372.0,181.0
Konya,-188.0,-59.0
Kütahya,-400.0,46.0
Malatya,178.0,-24.0
Manisa,-478.0,-8.0
Mardin,349.0,-130.0
Mersin,-99.0,-187.0
Muğla,-451.0,-149.0
Muş,439.0,17.0
Nevşehir,28.0,1.0
Niğde,-45.0,-83.0
Ordu,155.0,178.0
Osmaniye,60.0,-128.0
Rize,375.0,191.0
Sakarya,-321.0,188.0
Samsun,39.0,210.0
Siirt,451.0,-79.0
Sinop,-30.0,259.0
Sivas,133.0,74.0
Şanlıurfa,249.0,-137.0
Şırnak,485.0,-122.0
Tekirdağ,-543.0,202.0
Tokat,97.0,146.0
Trabzon,306.0,180.0
Tunceli,286.0,41.0
Uşak,-407.0,-23.0
Van,561.0,-30.0
Yalova,-409.0,160.0
Yozgat,-3.0,83.0
Zonguldak,-288.0,187.0